"Where is your shop located?","Gupta Stores Madurai, 36 East Chitrai Street, Madurai, Tamil Nadu 625001."
"What types of products do you sell?","We offer Cosmetics Products, Salon Furnitures, Nail Art Products, Tattoo Products, and Workshops."
"What information do you need from customers for service?","We require the customer's Name, Phone Number, WhatsApp Number, and Location."
"What are your working hours?","We operate from 11:00 AM to 08:00 PM."
"How can I place, modify, or cancel an order?","Orders can be placed through call or WhatsApp. Modification or cancellation depends on order status—contact us directly for assistance."
"What payment methods do you accept?","We accept PhonePe and GPay."
"What are the available shipping methods?","We ship using ST Courier."
"What are your delivery times?","Standard delivery time is 1 day (depending on location)."
"Are there any delivery charges?","Yes, delivery charge is ₹100."
"What is your return policy?","Returns are accepted only for valid issues. Contact customer support immediately if there is a problem."
"How can I contact customer support?","You can contact us at +91 81223 63857."
"What payment options are available?","We accept GPay Scanner and PhonePe Scanner payments."
"Do you ship to other states or countries?","We ship only within India."
"What are your best-selling products?","Our best sellers are the Vanity Bag Combo Offer and the Iron Stand Combo Offer."
"Can you describe the Vanity Bag Combo Offer?","The Vanity Bag Combo includes: HD Foundation, Kajal, Lipstick, Setting Powder, Eyebrow Palette, Corrector, Concealer, Mascara, Eyeliner, Primer, Setting Spray, Highlight 3 in 1, Foundation. Price: ₹3300 with a Free Premium Vanity Bag. Offer valid for first 20 customers only."
"Can you describe the Iron Stand Combo Offer?","The Iron Stand Combo includes: Philips Steam Iron Box (1-Year Warranty), 1 Net + 1 (4 Clip) Saree Drape Cover (30 pcs), Iron Mate, Mini Sponge, Ironing Stand, Magnet Watch. Combo Price: ₹3500 + ₹400 Fast Delivery."
"What is included in the Vanity Bag?","The Vanity Bag includes: HD Foundation, Kajal, Lipstick, Setting Powder, Eyebrow Palette, Corrector, Concealer, Mascara, Eyeliner, Primer, Setting Spray, Highlight 3 in 1, Foundation."
